Chapter,Section,Page,Quote,Annotation,Type
3,Inforation and Meaning,56,"In other words, whenever the system's closure determines certain regularities in the face of internal or external interactions and perturbations, such regularities can be abbreviated as a symbol, usually the initial or terminal element in the nomic chain"" (Varela 1979, pp. 79-80). Thus, when we talk about DNA ""coding"" for proteins we are not referring to a special type of symbolic causal relation or a special type of intrinsically informational molecule that rises above the dynamic fray. Rather, we are abbreviating a lengthy but remarkably stable dynamic pattern of biochemical events. It is precisely the stability and predictability of the entire pattern that allows us to telescope it in a linguistic mode of description by treating nucleotide triplets as in effect ""standing for"" amino acids.",Are terms like “learning” “encodes” “stores” “remembers” “generates” and “creates” when used to describe “AI” systems analogous to our use of linguistic descriptions of complex biological systems? If DNA/RNA don’t actually “code” and can we infer that this could also be the case for “AI” systems with terms like “learn” and “create”? ,"Question , Jargon"
3,Inforation and Meaning,56,"...Next we observe that this kind of simplified description of an actual dynamic process is a useful one in following the sequences of reproductive steps from one generation to the other, to the extent that the dynamic process stays stable (i.e., the kinds of dynamics responsible for bonding, folding, and so on)...A symbolic explanation, such as the description of some cellular components as genes, betrays the emergence of certain coherent patterns of behavior to which we choose to pay attention"" (Varela 1979, p. 75).","The coherent dynamics of life are the basis of our language-based ways of describing them. In many cases our linguistic descriptions are limited, but are often useful. Their usefulness does not mean that they are in fact true about the complex systems, but rather a stable frame of reference. We name regularities like “coding” or “modulates” even if the underlying biology is more complex than the name implies.",Translation  style entry
3,Inforation and Meaning,57,"There the switching from in-phase to anti-phase happens without any command from a motor program; rather, it occurs spontaneously as an emergent property of the system's self-organizing dynamics. ","Is this what the dynamicist would say about the automatic reaction we have when the doctor takes a hammer on our knee? Because that reaction does feel very input--> processing ---> output, not very topological. ",Question
3,Inforation and Meaning,57,"In summary, the linguistic mode is emergent from the dynamical mode, and information exists only as dynamically embodied.",Linguistic Mode vs. Dynamical Mode in his examples about cells & DNA/RNA. How the hell can this be applied elsewhere? ,Jargon
3,Inforation and Meaning,57,"For another example we can return to the finger coordination study of Haken, Kelso, and Bunz","I found a figure from a paper about this finger coordination that I think would help.
https://media.springernature.com/lw685/springer-static/image/prt%3A978-0-387-30440-3%2F3/MediaObjects/978-0-387-30440-3_3_Part_Fig411_HTML.gif",Connection
3,Inforation and Meaning,58,Our coordination or pattern dynamics is informational from the very start.,I was just wondering if the idea of entropy can be applied here and given some meaningful implication,Jargon
3,Inforation and Meaning,59,"This idea of a sensorimotor world—a body-oriented world of perception and action—is none other than von Uexküll’s original notion of an Umwelt. An Umwelt is an animal’s environment in the sense of its lived, phenomenal world, the world as it presents itself to that animal thanks to its sensorimotor repertoire: “all that a subject perceives becomes his perceptual world and all that he does, his effector-world. Perceptual and effector worlds together form a closed unit, the Umwelt” (von Uexküll 1957, p. 6).","This image and description of an umwelt helped me see the connection to embodied dynamism much more clearly. On the left is how we see the environment of a bee. On the right is how a bee sees it. Therefore the image on the right is the environment of the bee, not the image on the left. Our reality, is our own reality, there is no objective reality, we create our environment and our environment creates us. file:///C:/Users/ellam/Downloads/The_Umwelt_of_an_embodied_agent-a_measure-theoreti.pdf
",Connection
3,Inforation and Meaning,59,"Another way to make this point would be to say that autonomous systems do not operate on the basis of internal representations in the subjectivist/objectivist sense. Instead of internally representing an external world in some Cartesian sense, they enact an environment inseparable from their own structure and actions","I like this idea of rejecting the subject object dichotomy and I think it has a natural connection to the phenomenology we talked about in chapter 2. If a teacher asks a student to go up to the chalkboard and solve a math problem, we don't need to think about this as a subject somehow internally representing the concepts of ""2"", ""plus"", and ""3"". We can see the student as an autonomous agent responding to the social context that the whole problem-solving is situated in (social norms around teacher-student behavior, reaction of peers, etc...) Then the whole situation seems more about acting within the world to advance a social situation than a subject closing themself off from the world and faithfully representing it.",Add Context
3,Inforation and Meaning,59,"An Umwelt is an animal 's environment in the sense of its lived, phenomenal world, the world as it presents itself to that animal thanks to its sensorimotor repertoire: ""all that a subject perceives be­ comes his perceptual world and all that he does, his effector-world. Perceptual and effector worlds together form a closed unit, the Umwelt"" (von Uexkull 1957, p. 6).","Reminds me of a TED talk titled ""Can we create new senses for humans?"": https://www.youtube.com/watch?v=4c1lqFXHvqI",Connection
3,Emergent Processes,61,This example illustrates several basic points about collective self organization and dynamic emergence,"The following concept might help gain a sense of dynamic emergence and its application. Dynamical Emergence Theory (DET) aims to map the structure of phenomenal experience to that of the dynamics (actual or observed) of the physical substrates that give rise to it. Citation: 
Moyal, R., Fekete, T. & Edelman, S. Dynamical Emergence Theory (DET): A Computational Account of Phenomenal Consciousness. Minds & Machines 30, 1–21 (2020). https://doi.org/10.1007/s11023-020-09516-9","Add Context , Connection"
3,Emergent Processes,62,"Coherent and ordered global behaviors, which are described by collective variables or order parameters, constrain or govern the behavior of the individual components, entraining them so that they no longer have the same behavioral alternatives open to them as they would if they were not interdependently woven into the coherent and ordered global pattern. At the same time, the behavior of the components generates and sustains the global order. This two-sided or double determination is known as circular causality. ","This might not be the most important term in any sense but this man kept saying circular with no explanation until almost the end of the chapter so I wanted to flag this actual definition. 

Essentially, circular causality is the way in which overall system (or global) and component behaviors continually influence each other, so that their behavior and the global order cannot be separated or traced back to one component or system. ",Translation  style entry
3,Autonomous Systems,Sep-48,"""Whereas autopoietic closure brings forth a minimal ""bodily self"" at the level of cellular metabolism, sensorimotor closure produces a ""sensorimotor self"" at the level of perception and action.""","I think I understand what Thompson means by autopoietic closure (metabolism creates membrane, membrane encloses/bounds metabolism, etc.), but I'm unsure what he means by ""sensorimotor closure."" The closest thing I can think of is a somewhat opaque quote from Merleau-Ponty about the ""fundamental narcissism of vision."" As I understand it, M-P says that vision is always a structural relation encompassing both observer and observed (I can track my own motion based upon the relative motion of my perceptual world) and thus that I stand out from my perceptual environment in the same kind of figure-ground relation that Thompson ascribes to the cell and the ""molecular soup.""","Question , Connection"
3,Intro,37-38; 51,"""The paradigm for interaction with an autonomous system is a conversation, in which unsatisfactory outcomes are seen as breaches of understanding (Varela 1979, p. xii)""
""For enactive theorists, information is context-dependent and agent-relative; it belongs to the coupling of a system and its environment. What counts as information is determined by the history, structure, and needs of the system acting in its environment.""","This reminds me of Tzvetan Todorov who states that Truth is a common ground of knowledge, and Mikhail Bakhtin who proposes that life is a on-going, infinite dialogue with others.","Add Context , Connection"
3,Dynamic Systems,"39, 41-42, 44","A dynamic system in the sense of a model, however, is a mathematical construction that aims to describe and predict the way an actual system changes over time (the paths of the planets, and events such as eclipses, in the case of the solar system). To this end, some aspects of the actual system are singled out as being especially important and are mathematically represented by quantitative variables. Specifying the numerical values of all the variables at a given time indicates the state of the system at that time. A dy-namic system includes a procedure for producing such a description of the state of the system and a rule for transforming the current state-description into another state-description for some future time. A dynamic system is thus a mathematical model for the way that a system changes or behaves as time passes."". The constituent processes in this case are chemical; their recursive interdependence takes the form of a self-producing, metabolic network that also produces its own membrane; and this network constitutes the system as a unity in the biochemical domain and determines a domain of possible interactions with the environment",Dynamic systems- Dynamic systems are systems in which change over time with the aim to describe how actual systems evolve throughout time. It serves as a model for system behavior. ,Translation
3,Dynamic Systems,"39, 41-42, 44","Most differential equations, however, cannot be solved in this way. When the equations contain nonlinear terms—functions in which the value of the output is not directly pro-portional to the sum of the inputs—then such a solution is impossible.","This portion of text made me think of the 3 body problem in physics. So I posed a question of ""How does the presence of nonlinear terms in the three-body problem impact its solvability within the context of dynamic systems?"" ",Question
3,Dynamic Systems,"39, 41-42, 44","Because the phase transition occurs at a certain critical frequency of finger oscillation, the frequency acts as a “control parameter” for the system. The control parameter does not dictate or prescribe the collective variable or order parameter (the emergent pattern of relative phase). Rather, its changing values lead the system through a variety of possible pat-terns or states (Kelso 1995, p. 7). Thus the model mathematically de-scribes how the control parameter of finger-movement frequency leads the system through different patterns of finger coordination......",I am kind of confused on how the finger movements can be related to dynamic systems in terms of the state phase of the system.,Question
3,Dynamic Systems,"39, 41-42, 44","The paradigm is a living cell. The constituent processes in this case are chemical; their recursive interdependence takes the form of a self-producing, metabolic network that also produces its own membrane; and this network constitutes the system as a unity in the biochemical domain and determines a domain of possible interactions with the environment",The brain that changes itself- Norman Doidge;  It talks about the brain as a dynamic system along the frameworks of the quote I cited above and how neuroplasticity comes into play.,Connection
3,Dynamic Systems,40-43,"Haken, Kelso, and colleagues devised a dynamic-systems model to describe and predict these properties of motor behavior. The model describes how the relative phase relation between the two fingers evolves over time. Relative phase is an example of a ""collective variable""-one whose value is set by the relation between the values of other variables, in this case those describing the individual finger movements. A collective variable describes a high-level or global characteristic of a system that emerges as a coherent and ordered pattern from the interactions of the system's components. This macrolevel pattern is also known as an order parameter because it reduces the degrees of freedom of the system's components by organizing them into a coherent and ordered pattern. When the fingers move in-phase, the collective variable or order parameter of relative phase is zero; once the critical transition or bifurcation to anti-phase happens, the relative phase becomes nonzero up to some maximum value. Because the phase transition occurs at a certain critical frequency of finger oscillation, the frequency acts as a ""control parameter"" for the system.","The Haken, Kelso, and Bunz (HKB) model and what it teaches us about dynamical systems theory and ""control parameters.""",Jargon
3,Dynamic Systems,"42, 43","Quoted from Tim van Gelder: ""Although all cognitive scientists understand cognition as something that happens over time, dynamicists see cognition as being in time, that is as an essentially temporal phenomenon""","What does ""in time"" actually mean??? Prepositions are so context dependent for meaning in English anyways. The biggest takeaway I had from this section is that the big shift is from viewing systems as changing between discrete states to systems changing state ""continuously in time,"" as in the fact that you cannot just isolate one particular state at a static point in time.","Add Context , Question"
3,Autonomous Systems,44-45,"On the contrary, autonomous systems must be thermodynamically far-from-equilibrium systems, which incessantly exchange matter and energy with their surroundings. Organizational closure refers to the self-referential (circular and recursive) network of relations that defines the system as a unity, and operational closure to the reentrant and 
recurrent dynamics of such a system. An autonomous system is always structurally coupled to its environment. Two or more systems are coupled when the conduct of each is a function of the conduct of the other. (In dynamic-systems language, the state variables of one system are parameters of the other system, and vice versa.) ""Structural coupling"" refers to the history of recurrent interactions between two or more systems that leads to a structural congruence between them (Maturana 1975; Maturana and Varela 1987, p. 75). Thus the state changes of an autonomous system result from its operational closure and structural coupling. ","""thermodynamically far-from-equilibrium"" ""organizational closure"" ""operational closure"" ""structural coupling"" etc.

This seems related to something John Haugeland wrote in 1998. In it he explains that humans can use ""environmental information"" by coupling with it. 

“Now let me tell you how I get to San José: I pick the right road (Interstate 880 south), stay on it, and get off at the end. Can we say that the road knows the way to San Jose, or perhaps that the road and I collaborate? I don’t think this is as crazy as it may first sound. The complexity of the road (its shape) is comparable to that of the task and highly specific thereto; moreover, staying on the road requires constant high-bandwidth interaction with this very complexity. In other words, the internal guidance systems and the road itself must be closely coupled, in part because much of the “information” upon which the ability depends is “encoded” in the road.” (234)

“Mind, therefore, is not incidentally but intimately embodied and intimately 
embedded in its world.” (237)
","Connection , Jargon"
3,Autonomous Systems,44-45,"In this work he defines an autonomous system as a system that has organizational closure (later called operational closure) (Varela 1979, pp. 55–60).","I think a graph in Di Paulo and Thompson's article The Enactive Approach (2014) in The Routledge Handbook of Embodied Cognition demonstrates this concept pretty well (p. 70):
https://evanthompson.me/wp-content/uploads/2012/11/9780415623612c07.pdf","Add Context , Connection"
3,Autonomous Systems,47-48,"""When the eye and the ear follow an animal in flight, it is impossible to say “which started first” in the exchange of stimuli and responses. Since all movements of the organism are always conditioned by external influences, one can, if one wishes, readily treat behavior as an effect of the milieu. But in the same way, since all the stimulations which the organism receives have in turn been possible only by its preceding movements which have culminated in exposing the receptor organ to the external influences, one could also say that the behavior is the first cause of the stimulations.""","Enactivism seems to open up a new horizon for ethics, which is both promising and concerning. It is promising in the sense that it encourages consideration of the social factors in crimes and calls for societal action rather than attributing the fault to individuals. On the other hand, there can also be an interpretation that questions whether (or how much) individuals are responsible, and whether there should be punishement against them.

Alternatively, how to define ""oppression"" (especially systematic ones) in an ontology that is based on coupling wiht the environment? How does enactivist approaches view individual/minority efforts in a political movement?",Question
4,Chapter Intro,66,"""[Merleau-Ponty] states that matter, life, and mind ""participate unequally in the nature of form,"" that they ""represent different degrees of integration and... constitute a hierarchy in which individuality is progressively achieved.""""","Might ""individuality"" be understood here as ""autonomy"" as we defined it last week?","Question , Connection"
4,Form and Circular Causality,67,"He states, “there is form whenever the properties of a system are modified by every change brought about in a single one of its parts and, on the contrary, are conserved when they all change while maintaining the same relationship among themselves.”","This kinda reminded me of a family— every time there is a change in a member of a family, it also brings a change to the entire family, but they all still have their same relationships to each other. So if someone in the family goes to college, for example, it brings about a change in the family dynamic, but overall, the structure of the family is still the same- the college student is still the child/grandchild/sibling. ","Add Context , Connection"
4,Form and Circular Causality,67,though he thinks Gestalt psychology does not understand it properly..,How exactly Gestalt psychology and Behaviorism are different from Marleau-Ponty's approach ,Question
4,Form and Circular Causality,67,"""A thorough investigation of behavior will reveal that we need to conceive of natural processes (material, living, and mental) as unities or structured wholes rather than simply as multiplicities of events external to each other, bound together by efficient causal relations.""","This is reminiscent of our discussion of information last week. Basically, on the Enactive account, information is not simply physical 'stuff' possessing an absolutely positive existence, but the emergence of meaning between an agent and its environment. Information, in other words, is through and through relational and cannot be understood outside of the specific relation from which it emerged. This also sounds like what Thompson, after Merleau-Ponty, calls ""form:"" ""a whole that cannot be dislocated from its components but cannot be reduced to them either."" ",Connection
4,Form and Circular Causality,"69, 85","To say that the organism’s global response varies qualitatively when the stimuli vary quantitatively is to say that stimuli act upon the organism as control parameters, which upon reaching a certain critical threshold induce a global qualitative discontinuity in the organism (a bifurcation in phase space).
... 
First, phenomenal form is mathematically describable and hence has meaning in mathematics. Second, this mathematical morphology can be given physical and physiological content, through morphodynamic models of macrophysical and neurophysiological systems (see Petitot 1994, 1999)","Doesn't qualitative measures inherently encode some sort of mechanical thinking? Under the context of rejecting mechanical thinking, how is mathmatical models and measurements  re-introduced into the study of behavior? How to reject an obejectivism brough by (maybe even inherent to) these kinds of tools?",Question
4,Form and Circular Causality,68,"By contrast, a dialectical relation is one in which: (i) A determines B, and B determines A (bi-directional dependence or reciprocal determination); and (ii) neither A nor B is analyzable into discrete, causally efficacious elements that stand in a one-to-one correspondence (nondecomposability). Furthermore, dialectical relations are dynamic, not static. Hence (iii) A alters B, and B alters A; (iv) A is altered by B as determinant of B, and B is altered by A as determinant of A; and (v) it makes sense derivatively to speak of A making what A is via B, and B making what B is via A (Priest 1998, p. 163).
","A dialectical relation is one in which A and B determine each other. Their interactions cannot be confined to where one component's output is another component's input. They are inextricably interdependent. 
",Translation  style entry
4,Form and Circular Causality,69,"""Given these kinds of close interdependencies, A and B can also be regarded as parts of a larger global whole or pattern when they are dialectically related.""","If A and B are defined by their relation just as much as the relation is defined by A and B taken individually, is there any difference between being one thing and being in a relation? In other words: it seems like those things we call whole or discrete ""individuals"" (nouns, basically) are not ontologically fundamental, that whenever we talk about a ""thing"" or an ""object,"" we have already reduced something in some way.",Question
4,Form and Circular Causality,70,Something acquires meaning for an organism to the extent that it relates (either positively or negatively) to the norm of the maintenance of the organism’s integrity. ,"Does “meaning” here mean “significance”? If I think that a box of memories has “meaning” for me as an organism, is that box related somehow to my “norm of maintenance”? And if yes, how broadly are we defining “maintenance”? Maintenance of mood?",Question
4,Form and Circular Causality,71,"Morphodynamics is a branch of dynamic systems theory concerned with the emergence of form or structure (Petitot 1992, 1995, 1999). The basic idea is that “structures are
essentially dependent on critical phenomena, i.e., on phenomena of symmetry breaking which induce qualitative discontinuities (heterogeneities) in the substrates . . . Discrete structures emerge via qualitative discontinuities . . . a system of qualitative discontinuities in a substrate is called a morphology and dynamic theories of morphologies belong to what is called morphodynamics. There is therefore a close link between the concept of ‘structure’ and morphodynamics” (Petitot 1995, p. 231; emphasis in original).
",What is morphodynamics? Was anyone able to translate Thompson's explanation into a more accessible definition. Once we know that. why is behavior morphodynamic?,"Question , Jargon"
4,Form and Circular Causality,71,"In other words, at a morphodynamic level, the same form or structure is taken to characterize certain senorimotor behaviors and brain activities. ","So is the idea that we can’t say a brain process is X, Y, Z, but rather that if a brain is exhibiting X, Y, and Z we can say that that particular pattern is indicative of a certain behavior/process, almost like a diagnosis of what process the brain is seemingly exhibiting?",Question
4,Form and Circular Causality,71,... a system of qualitative discontinuities in a substrate is called a morphology...,"""Morphemes"", in the linguistics context, are the smallest meaningful units of meaning.. such a prefix of a word.",Add Context
4,Form and Circular Causality,71,"It follows that behavior does not exist in the nervous system or in the body (1963, p. 161) any more than a conversation exists in the individual speakers (or their brains) or a jazz improvisation exists in the individual instruments or soloists.","I think this is a curial sentence for me to understand the concept of this section. It help explained that the action of behavior, according to Merleau-Ponty, exists in the interaction instead of physical entity.",Add Context
4,Form and Circular Causality,71,"The basic idea [of morphodynamics] is that 'structures are essentially dependent on critical phenomena, i.e. on phenomena of symmetry breaking which induce qualitative discontinuities (heterogeneities) in the substrates ... discrete structures emerge via qualitative discontinuities... a system of qualitative discontinuities in a substrate is called a morphology and dynamic theories of morphologies belong to what is called morphodynamics. There is therefore a close link between the concept of 'structure' and morphodynamics'","Critical phenomena seems to largely be a mathematical term, but I think the easiest way to put it in terms of behavior is that behavior emerges from the whole environment and the relevant critical phenomena are the structures in the body, brain, and environment (idk)","Translation  style entry, Jargon"
4,The Physical and Living Orders,74,Organisms shape the physicochemical environment into a milieu (an Umwelt). ,I wonder if this has implications for manifestation? That we can actualize and realize our environment?,"Question , Connection"
4,The Physical and Living Orders,74,"Being a nutrient is not intrinsic to the physicochemical structure of the sucrose molecule; it is a relational feature, linked to the bac­terium 's metabolism . I","Question: This is a weird example.. Can I say, being combustion-supporting is not intrinsic to oxygen, but it is linked to other things reacting with it? But they are still physical, not vital?",Question
4,The Physical and Living Orders,74,Organisms shape the physicochemical environment into a milieu (an Umwelt). ,"The idea of virtual condition is a bit confusing. Is it suggesting that without the the organism, the physical environment would not be considered milieu?",Question
4,The Physical and Living Orders,74-75,"In order to give a full and complete account of the bacterium’s activity in swimming up the sucrose gradient, it is not sufficient to refer simply to the local molecular effects of sucrose as it traverses the membrane and gets taken up internally. Although these local effects are indeed crucial, they are at every step subordinated to and regulated by the global maintenance of autopoiesis.","Is an understanding of sucrose as ""food"" really essential to understanding E Coli's movement? To understand its metabolism as a whole, we need to look at what it uses as food, but to understand its swimming mechanism, we don't need to know put a label on whatever goal the organism has chosen. What if it's cells were rotating to orient themselves towards moisture, light, or something else? ",Question
4,The Human Order,76,"By “perceived situation” Merleau-Ponty means perception of the actions of other subjects, upon which is founded the perception of things as cultural use-objects. ",This reminds me of those funny videos where kids will copy their parents exactly!! https://m.youtube.com/watch?v=cHBKCc5bTk0,Connection
4,The Human Order,76,The human order has originality in that its most typical structures and forms of behavior are symbolic.,"Human language would be a perfect example in this situation. First of all from the very bottom the way human assign certain meaning or object into certain letter combination is completely random. It is sort of like a way of evolution, where it would end up differently with different environment. But at the same time, language also react on human and shape how human learn about the world. ",Connection
4,The Human Order,76,"Metleau-Ponty’s third order is the human order. The human order has originality or symbolic structures do not exist in isolation but belong to symbol systems. In these systems each symbol is related not simply to what it symbolizes—the thing or event, for instance, for which it stands—but also to other symbols. ","This again reminds me of Jaques Lacan, who proposed the idea of signifier chains, namely that signifiers generate meaning by pointing to one another (I.e. a word can only be explained by a series of other words) rather than pointing to real things. ","Add Context , Connection"
4,The Human Order,76,"Thus symbols imply the ability to grasp something as an object, in the phenomenological sense of something that remains invariant through perspectival variation and is graspable by the subject as also being available to other subject. yet what is especially distinctive about human symbolic behavior for Merleau-Ponty is that it is directed not toward things or objects as such but toward ""use-objects"" -- things endowed with cultural constituted meanings. Thus symbolic behavior implies the enactment of a whole new kind of milieu. This milieu is no longer vital situation-response but ""perceived situation-work."" ","I wish he had discussed more about the culturally constituted meaning. I might be stretching it here but in some ways this related to the question of systems being connected beyond the individual? Because how is an object otherwise culturally constituted and understood by a group of people as the same type of ""use-object."" Also I'm so fucking confused what exact point he's trying to make about it being a new kind of ~milieu~. ","Add Context , Question"
4,The Human Order,77-78,"Our symbolic forms of behavior enable us to create social and cultural structures to
which we are committed. Yet we refuse to let ourselves become identical to them; we are always trying to pass beyond them and create new things. In Merleau-Ponty’s words: “use-objects and cultural objects would not be what they are if the activity which brings about their appearance did not also have as its meaning to reject them and to surpass them” (1963, p. 176; emphasis omitted). This self-surpassing mentality is a structural precondition for cultural forms in the first place (even while it is always already reciprocally constituted by them in any of its concrete instances). Exemplified in the human order, this mentality is emergent not simply in relation to the living order overall, but also in relation to higher animals (1963, pp. 175–176).","This quote really resonates. I think of Byung-Chul Han's (in The Expulsion of the Other) criticism of the cultural phenomena that he calls ""homogeneity"" --- signified by over(and thoughtless)-affirmation of others, internalization of and self-directed violence, over consumption and over production, lack of motivation, and so on. The idea is that the differentialting force that makes our selves is weakened by technocracy and dictatorship of systems.
I wonder if enactivism has a response to this phenomenon.",Connection
4,Consciousness and the Structure of Behavior,79,"As we have seen, this sort of interiority—the self-production of an inside that also specifies an outside to which it is normatively related—arises through autopoietic closure and the thermodynamic requirements of basic autonomy. Thus autopoiesis is a condition of possibility fo rthe dynamic emergence of interiority. As just remarked, however, this emergence of an inside is also the specification of an outside. Thus the dynamic emergence of interiority can be more fully described as the dynamic co-emergence of interiority and exteriority.","Systems maintain themselves by continuously creating their own components and regulating their boundaries. This self-maintenance defines what the system is internally, but also how it relates to and interacts with the world outside. So when a system develops itself, the system and the external environment are shaped together through this ongoing / continuous process. The interiority and exteriority are interdependent. As the system develops it's interiority, it simultaneous defines and is defined by the exteriority (dynamic co-emergence).","Add Context , Translation  style entry"
4,Consciousness and the Structure of Behavior,80,"Consciousness is not an interior state of the mind or brain that stands in a linear causal relation to sensory input and motor output. It is a form or structure of comportment, a perceptual and motor attunement to the world. In our human case, this attunement is primarily to an environment of meaningful symbols and the intentional actions of others.","This idea reminds me a lot of Tony Chemero's paper I read in intro about the mind + a cane. How we perceive the world and are conscious is directly connected to our environment. If we have a cane the cane becomes part of how we perceive our environment. Consciousness is not only happening in our head, outside objects become a part of it. 

Link to article:https://archive.philosophersmag.com/the-world-at-the-end-of-the-cane/",Connection
4,Naturalism and the Phenomenological Attitude,81,The notion of form is borrowed from the perceived world […],I’m still a little confused on what exactly form is. ,Jargon
4,Naturalism and the Phenomenological Attitude,81,"""In other words, Merleau-Ponty argues that naturalism needs the notion of form... but this notion is irreducibly phenomenal. Hence naturalism cannot explain matter, life, and mind, as long as explanation means purging nature of subjectivity and then trying to reconstitute subjectivity out of nature thus purged.""","It strikes me that the last clause of this quote is very important: that naturalism cannot explain these phenomena ""as long as explanation means purging nature of subjectivity."" If life and consciousness are relational phenomena and not absolutely enclosed 'bubbles' of subjectivity or ""interiority,"" then perhaps there is some quality of experience (e.g., its constant flux) that is itself fundamental to reality more broadly. This isn't to say that there is consciousness everywhere or that everything is conscious, but that perhaps the relationality in which consciousness consists is an archetype for reality in general. I really like this part of the chapter because it upends an either/or we normally ascribe to consciousness: either that conscious experience gives us the world absolutely 'as it is', or that consciousness is completely cut off from the 'real' world and gives us an irreal representation of the world to which all possible knowledge is confined. (I think it also disqualifies a simple mixture of these: that some aspects of experience like shape and size correspond to absolute reality while others like color, smell, and taste do not.)",Question
4,Naturalism and the Phenomenological Attitude,82,"Here science is not supposed to reveal anything of a preexistence underlying absolute reality, nor is it a more or less random aggregate of efficient recipes. Science is rather the stabilized byproduct of a dynamic reciprocal relation between reality as a whole and a special fraction of it. Defining this special fraction of reality qua subject is the reverse side of its actively extracting objectlike invariant clusters of phenomena.","Science is kinda what results from the ongoing interaction between the entire reality and the part of it. The scientific observer is a part of reality, and actively engages with the world. It's not just about observation it's a reciprocal co-influencing relationship.","Add Context , Translation  style entry"
4,Naturalism and the Phenomenological Attitude,82,"Here science is not supposed to reveal anything of a preexistence underlying absolute reality, nor is it a more or less random aggregate of efficient recipes. Science is rather the stabilized byproduct of a dynamic reciprocal relation between reality as a whole and a special fraction of it. Defining this special fraction of reality qua subject is the reverse side of its actively extracting objectlike invariant clusters of phenomena.",Does the text suggest that objectivity could be functionally understood as collective stable subjectivity?,Question
4,Naturalism and the Phenomenological Attitude,83,"In this view, psychological phenomena are physiologically localized, not topographically in the anatomical space of the brain’s components, but topologically as dynamic forms or patterns of neuronal activity, visible as “figures” against the “background” of activity in the rest of the brain (and body). In this way, as Merleau-Ponty points out, “a rigorous ‘isomorphism’ could be maintained” between psychological and physiological phenomena","I think the idea here is to get away from outdated understandings of psychology and physiology where mental phenomena are recognized as being physically located in areas of the brain. But my question is, if we switch the focus to dynamic patterns of neuronal activity, blood flow, or whatever large-scale metric we want to use, only focus on qualitative patterns that emerge for the whole system? Without making it our singular focus, isn't there something to be learned by looking at individual components of the brain?",Question
4,Naturalism and the Phenomenological Attitude,86,"One can acknowledge that physiological concepts have origins in the phenomenal world, yet nonetheless maintain that there may be isomorphisms at a certain level or of a certain type between physiological phenomena and perceptual phenomena.","I think I get the idea that recognizing a phenomenon in the physical world requires us to be psychological beings with an ability to recognize ""figure"" and ""ground"" as he calls them. But what are some examples of an isomorphism between physiological and perceptual phenomena? Is an isomorphism more than just a one-off causal connection? How much of a generalization does it have to be, and does it need universal applicability to be useful to us?","Add Context , Connection"
9,Intro,244,"The nervous system establishes and maintains a sensorimotor cycle, whereby what one senses depends directly on how one moves, and how one moves depends directly on 'what one senses. One manifestation of our biological autonomy is that ,ve meet the environment on our own sensorimotor terms.","I felt like this is definitely a good perspective of considering subjectivity. At least I haven't though about subjectivity this way. I've been focusing on the subjectivity as the idea of self and thoughts, consciousness of the self. Now I think about it,  Sensorimotor experience can definitely be a huge part of one's subjectivity. ",Add Context
9,Subjectivity and Bodily Self-Consciousness,244,The body-body problem concerns the relation between one's body as one subjectively lives it and one's body as an organism in the world.,"What about AI systems with a physical body, or even robotics that aren't that advanced. Can they have a imitated version of Sensorimotor experience? If so, is that even unique? If not,  is the biological basis a key foundation here?",Question
9,Subjectivity and Bodily Self-Consciousness,246,"This passage can help us to appreciate that when Merleau-Ponty asserts, ""I am my body,"" he does not mean that I as a subject am simply my body considered as an object [...] My body is an expressive being, and what it expresses is my subjectivity. ","This reminded me of when people die and their loved ones say, ""I know it's their body, but they're not there anymore."" That relates to the body-body problem as well, but I liked the term ""expresses"" here insofar as you're expressed through/with your body, and that's part of what makes you different even sleeping than you dead. ","Question , Connection"
9,Subjectivity and Bodily Self-Consciousness,246,"""I am my body""",I'm kind of confused by the part about being your body/having it belong to you/taking it up and how that relates to the subjectively living body vs the physical living body from the last chapter. ,Question
9,Subjectivity and Bodily Self-Consciousness,247,"This body-environment circuit of motor intentionality belongs to what Merleau-Ponty calls the “intentional arc” subtending the life of consciousness, which integrates sensibility and motility, perception and action (1962, p. 136)","Here is a visualization of of intentional arc: https://www.researchgate.net/figure/The-Intentional-Arc_fig1_228704149, and here is my version of it: https://drive.google.com/file/d/1lq6lSqIJfiozd5beu7V4srxgWFZvLjpy/view?usp=drive_link","Add Context , Jargon"
9,Subjectivity and Bodily Self-Consciousness,248,How or in what way can it to be given to experience? This question asks about how one experiences oneself as a bodily subject or how a lived body experiences itself as a lived body.,Can we have more explanations on this? ,Question
9,Subjectivity and Bodily Self-Consciousness,248,"One way to approach bodily self-consciousness is to work back from the world, which transcends the bodily self. to the body as the correlate of its perceptual presence. A familiar theme of phenomenology, going back to Husserl, is that the lived body is a presupposition of the world's perceptual presence. ","This remind of the proof the vat in ""Brain in the vat""experiment is actually the body in Evan Thompson's essay.",Connection
